brottskod;benamning;upphord;kodgrupp
0818;Inbrottsstöld i butik, varuhus, kommersiell utställningslokal;;08
0819;Inbrottsstöld i kiosk, automat, skyltskåp;;08
0820;Inbrottsstöld i kontor;;08
0821;Inbrottsstöld i fabrik, lager, verkstad (ej bilverkstad);;08
0822;Inbrottsstöld på byggplats, i bod (tillfällig barack, vagn o.d.);;08
0823;Inbrottsstöld i garage, bensinstation, bilverkstad;;08
0824;Stöld genom inbrott i lägenhet eller villa (upphörde år 1996);1996;08
0825;Inbrottsstöld i källare, vind;;08
0826;Inbrottsstöld i fritidshus;;08
0827;Inbrottsstöld inom militärförläggning, militärt förråd;;08
0828;Stöld genom inbrott i fartyg eller farkost (upphörde år 1984);1984;08
0829;Inbrottsstöld inom hamnområde;;08
0830;Stöld, annan stöld medelst inbrott;;08
0831;Stöld även gm inbrott, av skjvapen, från militärt förråd (oavsett plats);;08
0832;Stöld även gm inbrott, av skjvapen, inom militärförläggning;;08
0833;Stöld även gm inbrott, av skjvapen, från skytteorganisations lokal eller förråd;;08
0834;Stöld även gm inbrott, av skjvapen, från vapenhandels lokal eller förråd;;08
0835;Stöld även gm inbrott, av skjvapen, från sprängämnesförråd (ej militärt);;08
0836;Stöld även gm inbrott, av skjvapen, i bostad (lägenhet, villa);;08
0837;Stöld även gm inbrott, av skjvapen, i fritidshus;;08
0838;Stöld även gm inbrott, av skjvapen, ur motorfordon;;08
0839;Övrig stöld av skjutvapen även gm inbrott, amm och sprängämnen;;08
0840;Stöld ur eller från motordrivet fordon, släpfordon och husvagn(upphörde år 2018);2018;08
0841;Stöld från cykel;;08
0842;Stöld under flygtransport (upphörde år 1988);1988;08
0843;Inbrottsstöld i villa/radhus (upphörde år 2001);2001;08
0844;Inbrottsstöld i lägenhet (upphörde år 2001);2001;08
0845;Stöld utan inbrott, fickstöld, stöld av/ur väska el dyl (upphörde år 2011);2011;08
0846;Stöld utan inbrott, skola/bibl./undervisn.lokal/förskola/fritidshem;;08
0847;Stöld utan inbrott, i idrotts-, bad- och sportanläggning;;08
0848;Stöld utan inbrott, i läkar- och tandläkarpraktik, sjukhus;;08
0849;Stöld utan inbrott biograf/teater/nöjes-/samlings/ungdomslokal;;08
0850;Stöld utan inbrott, inom hamnområde;;08
0851;Stöld utan inbrott, inom campingplats, strandbad;;08
0852;Stöld utan inbrott, i hotell, pensionat o.d.;;08
0853;Stöld utan inbrott butik/varuhus/kommersiell utställningslokal;;08
0854;Stöld utan inbrott, i kontor;;08
0855;Rån, utan skjutvapen, övrigt rån;;08
0856;Rån, med skjutvapen, övrigt rån;;08
0857;Inbrottsstöld, försök, i villa/radhus;;08
0858;Stöld utan inbrott, i bostad (lägenhet, villa) hos funktionsnedsatt;;08
0859;ej hos funktionsnedsatt;;08
0860;Stöld utan inbrott, i källare, vind;;08
0861;Stöld utan inbrott, inom militärförläggning, militärt förråd;;08
0862;Rån, med skjutvapen, bankrån;;08
0863;Rån, med skjutvapen, postrån (upphörde år 2007);2007;08
0864;Rån, med skjutvapen, butiksrån;;08
0865;Rån, med skjutvapen, taxirån;;08
0866;Rån, med skjutvapen, rån mot värdetransport;;08
0867;Rån, med skjutvapen, rån mot värdebefordran;;08
0868;Rån, utan skjutvapen, bankrån;;08
0869;Rån, utan skjutvapen, postrån (upphörde år 2007);2007;08
0870;Rån, utan skjutvapen, butiksrån;;08
0871;Rån, utan skjutvapen, taxirån;;08
0872;Rån, utan skjutvapen, rån mot värdetransport;;08
0873;Rån, utan skjutvapen, rån mot värdebefordran;;08
0874;Inbrottsstöld, försök, i lägenhet;;08
0875;Övr brott kap. 8, egenmäktigt förfar/självtäkt/olovl kraftavledn;;08
0876;Stöld under yrkesmässig transport, dock ej fickstöld (upphörde år 2010);2010;08
0877;Rån, utan skjutvapen, rån mot privatperson, utomhus (upphörde år 2007);2007;08
0878;Rån, utan skjutvapen, rån mot privatperson, inomhus (upphörde år 2007);2007;08
0879;Rån med skjutv, rån mot privatpers (ej fknshindrad), utomhus (upphörde år 2007);2007;08
0880;Stöld utan inbrott, annan stöld eller snatteri utan inbrott;;08
0881;Stöld under sjötransport, med/utan inbrott, ej fickstöld (upphörde år 1988);1988;08
0882;Stöld under yrkesmässig transport, annan godstransport (upphörde år 1988);1988;08
0883;Stöld utan inbrott i fabrik, lager, verkstad;;08
0884;Stöld utan inbrott på byggplats, i bod (tillfällig barack, vagn o.d.);;08
0885;Stöld utan inbrott, väskryckning (upphörde år 2011);2011;08
